plannerId,checkDate,processDate,periodStartDate,periodEndDate,payGroup,runType
fb053918-bc2b-0000-0000-0000fb700200,2025-10-17T00:00:00,2025-10-15T12:00:00,2025-10-06T00:00:00,2025-10-12T00:00:00,cd6faf54-3bf6-0000-0000-0000fb700200,R
cebae27f-6185-0000-0000-0000fb700200,2025-10-24T00:00:00,2025-10-22T12:00:00,2025-10-13T00:00:00,2025-10-19T00:00:00,cd6faf54-3bf6-0000-0000-0000fb700200,R
6ae3452f-7c86-0000-0000-0000fb700200,2025-10-31T00:00:00,2025-10-29T12:00:00,2025-10-20T00:00:00,2025-10-26T00:00:00,cd6faf54-3bf6-0000-0000-0000fb700200,R
822f2b49-d427-0000-0000-0000fb700200,2025-10-31T00:00:00,2025-10-29T00:00:00,2025-10-16T00:00:00,2025-10-31T00:00:00,f474640b-364c-0000-0000-0000fb700200,R
64592eb7-08e5-0000-0000-0000fb700200,2025-11-07T00:00:00,2025-11-05T12:00:00,2025-10-27T00:00:00,2025-11-02T00:00:00,cd6faf54-3bf6-0000-0000-0000fb700200,R
fe94a092-44f8-0000-0000-0000fb700200,2025-11-14T00:00:00,2025-11-12T00:00:00,2025-11-01T00:00:00,2025-11-15T00:00:00,f474640b-364c-0000-0000-0000fb700200,R
b0d7b21b-4706-0000-0000-0000fb700200,2025-11-14T00:00:00,2025-11-12T12:00:00,2025-11-03T00:00:00,2025-11-09T00:00:00,cd6faf54-3bf6-0000-0000-0000fb700200,R
9c5e2a44-613f-0000-0000-0000fb700200,2025-11-21T00:00:00,2025-11-19T12:00:00,2025-11-10T00:00:00,2025-11-16T00:00:00,cd6faf54-3bf6-0000-0000-0000fb700200,R
73c12687-32c5-0000-0000-0000fb700200,2025-11-28T00:00:00,2025-11-25T12:00:00,2025-11-17T00:00:00,2025-11-23T00:00:00,cd6faf54-3bf6-0000-0000-0000fb700200,R
a0b8eb5b-15f1-0000-0000-0000fb700200,2025-11-28T00:00:00,2025-11-24T00:00:00,2025-11-16T00:00:00,2025-11-30T00:00:00,f474640b-364c-0000-0000-0000fb700200,R
99042ed2-7706-0000-0000-0000fb700200,2025-12-05T00:00:00,2025-12-03T12:00:00,2025-11-24T00:00:00,2025-11-30T00:00:00,cd6faf54-3bf6-0000-0000-0000fb700200,R
24e9dbf7-7b26-0000-0000-0000fb700200,2025-12-12T00:00:00,2025-12-10T12:00:00,2025-12-01T00:00:00,2025-12-07T00:00:00,cd6faf54-3bf6-0000-0000-0000fb700200,R
98f65124-c2fd-0000-0000-0000fb700200,2025-12-15T00:00:00,2025-12-11T00:00:00,2025-12-01T00:00:00,2025-12-15T00:00:00,f474640b-364c-0000-0000-0000fb700200,R
9df909de-7552-0000-0000-0000fb700200,2025-12-19T00:00:00,2025-12-17T12:00:00,2025-12-08T00:00:00,2025-12-14T00:00:00,cd6faf54-3bf6-0000-0000-0000fb700200,R
5f1b3f9a-d155-0000-0000-0000fb700200,2025-12-26T00:00:00,2025-12-23T12:00:00,2025-12-15T00:00:00,2025-12-21T00:00:00,cd6faf54-3bf6-0000-0000-0000fb700200,R
d119a4b5-9455-0000-0000-0000fb700200,2025-12-31T00:00:00,2025-12-29T00:00:00,2025-12-16T00:00:00,2025-12-31T00:00:00,f474640b-364c-0000-0000-0000fb700200,R
20d1fc95-020d-0000-0000-0000fb700200,2026-01-02T00:00:00,2025-12-30T12:00:00,2025-12-22T00:00:00,2025-12-28T00:00:00,cd6faf54-3bf6-0000-0000-0000fb700200,R
8b88cd77-2b49-0000-0000-0000fb700200,2026-01-09T00:00:00,2026-01-07T12:00:00,2025-12-29T00:00:00,2026-01-04T00:00:00,cd6faf54-3bf6-0000-0000-0000fb700200,R
865d9aab-a7be-0000-0000-0000fb700200,2026-01-15T00:00:00,2026-01-13T00:00:00,2026-01-01T00:00:00,2026-01-15T00:00:00,f474640b-364c-0000-0000-0000fb700200,R
4f1ca361-3ee2-0000-0000-0000fb700200,2026-01-16T00:00:00,2026-01-14T12:00:00,2026-01-05T00:00:00,2026-01-11T00:00:00,cd6faf54-3bf6-0000-0000-0000fb700200,R
45cb021a-200f-0000-0000-0000fb700200,2026-01-23T00:00:00,2026-01-21T12:00:00,2026-01-12T00:00:00,2026-01-18T00:00:00,cd6faf54-3bf6-0000-0000-0000fb700200,R
9e14fb4d-4716-0000-0000-0000fb700200,2026-01-30T00:00:00,2026-01-28T12:00:00,2026-01-19T00:00:00,2026-01-25T00:00:00,cd6faf54-3bf6-0000-0000-0000fb700200,R
313ee24f-9d3a-0000-0000-0000fb700200,2026-01-30T00:00:00,2026-01-28T00:00:00,2026-01-16T00:00:00,2026-01-31T00:00:00,f474640b-364c-0000-0000-0000fb700200,R
99d5b1e3-ab67-0000-0000-0000fb700200,2026-02-06T00:00:00,2026-02-04T12:00:00,2026-01-26T00:00:00,2026-02-01T00:00:00,cd6faf54-3bf6-0000-0000-0000fb700200,R
bb99d507-e5ca-0000-0000-0000fb700200,2026-02-13T00:00:00,2026-02-11T00:00:00,2026-02-01T00:00:00,2026-02-15T00:00:00,f474640b-364c-0000-0000-0000fb700200,R
e6047f1c-5257-0000-0000-0000fb700200,2026-02-13T00:00:00,2026-02-11T12:00:00,2026-02-02T00:00:00,2026-02-08T00:00:00,cd6faf54-3bf6-0000-0000-0000fb700200,R
7775c746-fffb-0000-0000-0000fb700200,2026-02-20T00:00:00,2026-02-18T12:00:00,2026-02-09T00:00:00,2026-02-15T00:00:00,cd6faf54-3bf6-0000-0000-0000fb700200,R
fe4f358e-da3d-0000-0000-0000fb700200,2026-02-27T00:00:00,2026-02-25T12:00:00,2026-02-16T00:00:00,2026-02-22T00:00:00,cd6faf54-3bf6-0000-0000-0000fb700200,R
7ba28857-953c-0000-0000-0000fb700200,2026-02-27T00:00:00,2026-02-25T00:00:00,2026-02-16T00:00:00,2026-02-28T00:00:00,f474640b-364c-0000-0000-0000fb700200,R
e0c9e43a-e3c1-0000-0000-0000fb700200,2026-03-06T00:00:00,2026-03-04T12:00:00,2026-02-23T00:00:00,2026-03-01T00:00:00,cd6faf54-3bf6-0000-0000-0000fb700200,R
9fc8e4d7-6d3c-0000-0000-0000fb700200,2026-03-13T00:00:00,2026-03-11T12:00:00,2026-03-02T00:00:00,2026-03-08T00:00:00,cd6faf54-3bf6-0000-0000-0000fb700200,R
e0bfa25c-3ff3-0000-0000-0000fb700200,2026-03-13T00:00:00,2026-03-11T00:00:00,2026-03-01T00:00:00,2026-03-15T00:00:00,f474640b-364c-0000-0000-0000fb700200,R
96963f36-7202-0000-0000-0000fb700200,2026-03-20T00:00:00,2026-03-18T12:00:00,2026-03-09T00:00:00,2026-03-15T00:00:00,cd6faf54-3bf6-0000-0000-0000fb700200,R
02ac79b7-dca3-0000-0000-0000fb700200,2026-03-27T00:00:00,2026-03-25T12:00:00,2026-03-16T00:00:00,2026-03-22T00:00:00,cd6faf54-3bf6-0000-0000-0000fb700200,R
b84128ff-24ac-0000-0000-0000fb700200,2026-03-31T00:00:00,2026-03-27T00:00:00,2026-03-16T00:00:00,2026-03-31T00:00:00,f474640b-364c-0000-0000-0000fb700200,R
1446f742-0842-0000-0000-0000fb700200,2026-04-03T00:00:00,2026-04-01T12:00:00,2026-03-23T00:00:00,2026-03-29T00:00:00,cd6faf54-3bf6-0000-0000-0000fb700200,R
b9ae99fd-32a0-0000-0000-0000fb700200,2026-04-10T00:00:00,2026-04-08T12:00:00,2026-03-30T00:00:00,2026-04-05T00:00:00,cd6faf54-3bf6-0000-0000-0000fb700200,R
b4bcef76-eaed-0000-0000-0000fb700200,2026-04-15T00:00:00,2026-04-13T00:00:00,2026-04-01T00:00:00,2026-04-15T00:00:00,f474640b-364c-0000-0000-0000fb700200,R
